,track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,hit,era,spotify_explicit,spotify_track_number,spotify_release_date,spotify_disc_number,spotify_album_total_tracks,spotify_album_type,spotify_album_uri,spotify_artist_count,spotify_track_type,spotify_num_markets
0,Misty Roses,Astrud Gilberto,spotify:track:50RBM1j1Dw7WYmsGsWg9Tm,0.527,0.316,1,-15.769,1,0.031,0.693,0.00699,0.168,0.543,116.211,158840,4,53.89523,6,0,90,False,7,1996-08-20,disc_number,16,album,spotify:album:2oXajFtteT0sZGBredQOfH,1,track,0
1,Never Ever,All Saints,spotify:track:5FTz9qQ94PyUHETyAyfYZN,0.738,0.541,1,-5.485,1,0.0311,0.559,0.0,0.0492,0.309,134.187,387573,4,32.16853,16,1,90,False,8,2019-09-13,disc_number,28,album,spotify:album:77MCtYsYpn7AfsCW9nNlPg,1,track,0
2,Soul Sermon,Gregg Karukas,spotify:track:6m24oe3lk1UMxq9zq4iPFi,0.736,0.419,0,-10.662,1,0.03,0.693,0.495,0.0809,0.265,93.982,237267,4,42.05369,9,0,90,False,7,1999-01-01,disc_number,11,album,spotify:album:0Ft0b2IVfEWlPF6GXtvxPS,1,track,178
3,Clarinet Marmalade - Live,Alton Purnell,spotify:track:5FOXuiLI6knVtgMUjWKj6x,0.565,0.594,5,-13.086,1,0.0646,0.655,0.926,0.675,0.763,114.219,375933,4,80.99693,10,0,90,False,4,1990,disc_number,9,album,spotify:album:1J0LIK0Z0kCdl6FuT20Gy6,2,track,177
4,До смерті і довше - Drum & Base and Rock Remix,Skryabin,spotify:track:6CxyIPTqSPvAPXfrIZczs4,0.513,0.76,4,-10.077,1,0.0355,1.72e-05,0.00339,0.153,0.961,153.166,430653,4,25.57331,20,0,90,False,6,1998-07-02,disc_number,12,album,spotify:album:7Hj7qLmI9lFTKFLhApwwhG,1,track,177
5,Cuspa Cerveja...,Os Pedrero,spotify:track:6IYGvJanVieBEtJaO4IGfc,0.166,0.985,2,-4.529,1,0.119,0.147,0.179,0.54,0.609,170.045,65667,4,28.13311,4,0,90,False,6,1998-01-01,disc_number,16,album,spotify:album:2tNcuIUIvEmIuuTruGmN66,1,track,178
6,Baby-Baby-Baby,TLC,spotify:track:1zTuB57LYZa7xu7KUH8kF0,0.679,0.597,11,-8.601,0,0.0439,0.0913,0.000673,0.0487,0.9,184.174,315040,4,20.93007,15,1,90,False,12,1992-02-25,disc_number,15,album,spotify:album:19lVMS3ZOoJi5CdRKvoOiP,1,track,178
7,I Missed The Bus,Kris Kross,spotify:track:793gh4IXh7mQsMBhvcJRlt,0.811,0.634,4,-10.408,0,0.0714,0.00469,0.00943,0.224,0.273,107.915,179160,4,54.7873,9,1,90,False,12,1992-03-17,disc_number,15,album,spotify:album:5bGumbB29JBPlv4ECVURka,1,track,178
8,The Comfort Zone,Vanessa Williams,spotify:track:7okbmgA8lRBGl5limZ7LFM,0.528,0.234,3,-15.784,1,0.0283,0.641,0.0,0.183,0.191,95.911,218733,4,46.33298,10,1,90,False,6,1991-01-01,disc_number,14,album,spotify:album:0ksxzYuZtQz1kYrZEhXDjV,1,track,178
9,Hardcore Rules,25 Ta Life,spotify:track:75UjNrkncJ1idxVzlxkxLW,0.207,0.989,6,-5.564,1,0.218,0.000118,0.134,0.2,0.323,200.465,80987,4,49.52643,3,0,90,True,3,1999,disc_number,15,album,spotify:album:7GxJgugUEG0uVauoECAi7I,1,track,175
